species,season,abundance,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
southern-bluefin-tuna,jul-sept,0,152.5,-39.5,81,5240153
southern-bluefin-tuna,jul-sept,0,151.5,-38.5,81,5238151
southern-bluefin-tuna,jul-sept,0,152.5,-38.5,81,5239151
southern-bluefin-tuna,jul-sept,0,153.5,-38.5,81,5239153
southern-bluefin-tuna,jul-sept,0,154.5,-38.5,81,5239155
southern-bluefin-tuna,jul-sept,0,-167.5,-37.5,81,5338168
southern-bluefin-tuna,jul-sept,0,150.5,-37.5,57,5238150
southern-bluefin-tuna,jul-sept,0,151.5,-37.5,81,5238150
southern-bluefin-tuna,jul-sept,0,152.5,-37.5,81,5238153
southern-bluefin-tuna,jul-sept,0,153.5,-37.5,81,5238154
southern-bluefin-tuna,jul-sept,0,154.5,-37.5,81,5238153
southern-bluefin-tuna,jul-sept,0,178.5,-37.5,81,5238177
southern-bluefin-tuna,jul-sept,0,179.5,-37.5,81,5238178
southern-bluefin-tuna,jul-sept,0,-168.5,-36.5,81,5337168
southern-bluefin-tuna,jul-sept,0,95.5,-36.5,57,5237094
southern-bluefin-tuna,jul-sept,0,96.5,-36.5,57,5237095
southern-bluefin-tuna,jul-sept,0,150.5,-36.5,81,5237151
southern-bluefin-tuna,jul-sept,0,151.5,-36.5,81,5237150
southern-bluefin-tuna,jul-sept,0,152.5,-36.5,81,5237153
southern-bluefin-tuna,jul-sept,0,153.5,-36.5,81,5237154
southern-bluefin-tuna,jul-sept,0,154.5,-36.5,81,5235155
southern-bluefin-tuna,jul-sept,0,155.5,-36.5,81,5236156
southern-bluefin-tuna,jul-sept,0,176.5,-36.5,81,5237175
southern-bluefin-tuna,jul-sept,0,177.5,-36.5,81,5237176
southern-bluefin-tuna,jul-sept,0,179.5,-36.5,81,5337179
southern-bluefin-tuna,jul-sept,0,-179.5,-35.5,81,5336179
southern-bluefin-tuna,jul-sept,0,153.5,-35.5,81,5236154
southern-bluefin-tuna,jul-sept,0,175.5,-35.5,81,5236175
southern-bluefin-tuna,jul-sept,0,176.5,-35.5,81,5236177
southern-bluefin-tuna,jul-sept,0,177.5,-35.5,81,5235177
southern-bluefin-tuna,jul-sept,0,178.5,-35.5,81,5236178
southern-bluefin-tuna,jul-sept,0,179.5,-35.5,81,5336179
southern-bluefin-tuna,jul-sept,0,-179.5,-34.5,81,5235179
southern-bluefin-tuna,jul-sept,0,166.5,-34.5,81,5235165
southern-bluefin-tuna,jul-sept,0,176.5,-34.5,81,5235176
southern-bluefin-tuna,jul-sept,0,177.5,-34.5,81,5235178
southern-bluefin-tuna,jul-sept,0,-162.5,-33.5,81,5334163
southern-bluefin-tuna,jul-sept,0,-172.5,-32.5,81,5333172
southern-bluefin-tuna,jul-sept,0,-171.5,-32.5,81,5333172
southern-bluefin-tuna,jul-sept,0,14.5,-32.5,47,5233015
southern-bluefin-tuna,jul-sept,0,153.5,-32.5,81,5232152
southern-bluefin-tuna,jul-sept,0,156.5,-32.5,81,5231157
southern-bluefin-tuna,jul-sept,0,157.5,-32.5,81,5231157
southern-bluefin-tuna,jul-sept,0,-171.5,-31.5,81,5332171
southern-bluefin-tuna,jul-sept,0,157.5,-31.5,81,5231157
southern-bluefin-tuna,jul-sept,0,161.5,-31.5,81,5232161
